Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00082,Pos,2.243298680349055,1.3241211385712615,2.8128003320619097,0.00560591458075872,0.012393146238908,2.7701938001012003,2
M00083,Neg,-3.367577192930054,5.563491665742328,-5.2159740901170135,3.25335481570491e-05,9.731586628464281e-05,-4.847660462267172,5
M00086,Neg,-4.41609865700102,7.91221666342667,-8.92687519268285,6.292855975697701e-10,5.67381456227441e-09,-6.18291510674901,1
M00088,Pos,2.5452886968041404,-1.3963682611674602,3.60526561449695,0.00047295980511698,0.00123896294894495,3.49562108663151,1
M00089,Pos,2.18573949024758,5.252850554444031,4.94277065393838,3.92200962376035e-06,1.4509190182556198e-05,4.615473035928799,1
M00090,Neg,-2.24360789433564,-1.0248567385320502,-4.166505204788209,0.000100202120474449,0.00029275329395587004,-3.8901019383413797,1
M00093,Neg,-3.81190755919027,3.38512226414456,-5.454657095329376,2.5201968054859318e-05,7.77809442424054e-05,-5.051241110393355,2
M00095,Pos,2.9258733322124,5.421861717170861,5.11030371485191,1.8439556086156601e-06,7.221228176366589e-06,4.76981459144351,1
M00096,Neg,-4.347053409557401,3.8458340672845925,-7.256567562657212,2.26551720356275e-08,1.1499065079076468e-07,-6.303789527566075,7
M00097,Pos,7.572790350079889,-0.123483024208532,10.7716253346589,4.7130559784315e-19,6.767599269769971e-17,8.91881460308218,1
M00114,Neg,-4.401339976015066,4.580901856411335,-7.548552300286874,1.8992794185942738e-08,1.030209693114373e-07,-6.44179321176295,3
M00115,Neg,-4.57118865136066,4.136285336920485,-6.966059101835439,2.6372381508521107e-09,1.843289512323984e-08,-6.229791163737158,4
M00115,Pos,3.7575545427323,7.535108321569009,9.589015445961977,2.100553925537904e-14,7.08882829910883e-13,7.984892768539275,2
M00116,Neg,-3.797047049769328,1.871879477195214,-5.8578294722001,1.4512880298573028e-07,6.8697611488598e-07,-5.439525517843407,5
M00119,Neg,-4.584693563911688,3.144403937334346,-7.610152543954183,2.588405147443811e-08,1.3222119493533244e-07,-6.302614784248451,5
M00120,Neg,-4.412644130081761,1.9801093610925435,-6.994258973455745,6.185443582467894e-08,3.142993372554587e-07,-6.385511957923246,2
M00121,Neg,-3.5452806366504745,2.8021517777797476,-5.829608206838681,9.932728321956197e-05,0.0002696239205256019,-5.128046608719757,9
M00122,Neg,-2.589667888279022,1.5404786251433098,-4.162543384054006,0.00021638244627126998,0.0005745521909367731,-4.013067744055906,5
M00123,Neg,-3.6432897179737402,2.7256504767600793,-5.53955395227333,5.5445022419496234e-05,0.0001521846583050644,-5.134778304695257,4
M00124,Neg,-4.10664859052518,5.0748836147738405,-6.433840622901091,1.6448637218108663e-07,7.52781437935338e-07,-5.707289202497449,2
M00125,Neg,-3.50324384987513,0.687176296366531,-4.68520091779533,7.90712007802632e-06,2.7568259480672698e-05,-4.46768343441606,1
M00125,Pos,3.6046511917403703,4.885683281191651,5.6968109862636,5.9596877925909004e-08,3.22255363624476e-07,5.42000647174796,1
M00126,Neg,-2.751823393838504,3.5610657161862065,-5.006074675956391,3.013447320621457e-05,9.20217005705033e-05,-4.493606389195814,5
M00126,Pos,2.18708142314917,6.74719323121701,5.09544332233783,1.5598557209451e-06,6.170980234800161e-06,4.80341057390362,1
M00127,Neg,-4.3427686684251725,4.02787265453048,-6.305608108729217,1.5125830095025567e-06,5.419078426528812e-06,-5.77660489509523,4
M00129,Neg,-4.30844448761184,3.402539713668395,-6.113614405806935,8.127399627884027e-08,4.046836849846942e-07,-5.55017741238988,2
M00130,Neg,-4.829688901476009,2.01145110870828,-7.26586917950425,2.90463507899463e-11,3.99335822739793e-10,-6.65132630326939,1
M00131,Neg,-4.03907570437312,3.2920443792414504,-6.61695958326823,5.88949933628261e-09,3.99188617600833e-08,-5.819865521035191,1
M00133,Neg,-3.8962307068589,2.220934798999083,-5.666980073889833,1.7368188179144583e-07,8.20011474520875e-07,-5.310447695124624,3
M00135,Neg,-3.2804034376453446,2.9972802881519707,-4.877228786279005,0.0009186085983369314,0.0022093388901381385,-4.550677340047165,2
M00142,Pos,2.09836225392953,-0.103513341872613,3.3726843462583305,0.000998580745830134,0.00248332107221516,3.2909262912254,1
M00144,Neg,-3.8903708864432036,3.0444191634814666,-5.606437500518784,1.1334600301175483e-05,3.356575694037155e-05,-5.16878336155621,13
M00149,Neg,-4.371647287948616,6.2318230830809105,-6.822210816035181,1.699141336603979e-08,9.649460890725252e-08,-5.96198692519604,3
M00150,Pos,3.8775406839938302,7.73742778125041,10.171475730474599,8.779426108589849e-16,4.25472937787535e-14,8.042819975200889,1
M00157,Pos,3.6926474118573203,11.1908453978202,13.447650386914301,2.60969972486843e-24,2.52945145832873e-21,10.173279882470801,1
M00159,Neg,-4.273483318705392,4.470406927933226,-6.762700300448336,1.4464950972453013e-06,4.958876595036714e-06,-5.893655695999905,8
M00164,Pos,3.6926474118573203,11.1908453978202,13.447650386914301,2.60969972486843e-24,2.52945145832873e-21,10.173279882470801,1
M00165,Neg,-4.280970352622446,4.906041806663268,-6.907586492094966,4.3658276506828577e-07,1.692464686053388e-06,-5.991170216147884,5
M00165,Pos,2.5511513093173197,6.94553523096318,6.76147125334221,1.09569428512451e-09,9.09637418292876e-09,6.094807198023009,1
M00167,Neg,-4.280970352622446,4.906041806663268,-6.907586492094966,4.3658276506828577e-07,1.692464686053388e-06,-5.991170216147884,5
M00167,Pos,2.5511513093173197,6.94553523096318,6.76147125334221,1.09569428512451e-09,9.09637418292876e-09,6.094807198023009,1
M00168,Neg,-3.09334274315324,7.378641265037969,-5.66204975364176,1.5867423875915502e-07,7.796958474895351e-07,-5.24219884330795,1
M00169,Neg,-4.25006898117949,6.057949486743705,-7.501322556471454,9.036942268376973e-08,4.3740666487165124e-07,-6.38492204606292,2
M00171,Neg,-3.65195631716744,7.6011964610761344,-7.487734566007354,7.933714085787674e-08,3.8984863546584524e-07,-6.396956573563269,2
M00172,Neg,-4.25006898117949,6.057949486743705,-7.501322556471454,9.036942268376973e-08,4.3740666487165124e-07,-6.38492204606292,2
M00173,Neg,-4.206193621727747,5.499309859638761,-6.838630831132046,3.231023895304004e-08,1.6836245249295312e-07,-6.012799406989831,15
M00173,Pos,3.8775406839938302,7.73742778125041,10.171475730474599,8.779426108589849e-16,4.25472937787535e-14,8.042819975200889,1
M00174,Neg,-3.68023612060581,3.20317280555228,-5.43212624814054,3.3287986686747497e-07,1.51653965199201e-06,-5.103811495480469,1
M00175,Neg,-3.3224794769366404,1.05709042984538,-4.87129826002987,3.02354874550461e-06,1.1314959928881599e-05,-4.6692136081595095,1
M00177,Pos,2.03359630774102,-2.02465299294505,3.65743636315193,0.00041088220590100697,0.00108588296678814,3.5329937366098196,1
M00178,Neg,-3.3570734969229563,8.554110370801894,-7.8268924234155826,3.905574043989851e-09,2.635478542290558e-08,-5.988021987578709,3
M00179,Neg,-2.46594434412635,9.88153378170327,-9.981741110912278,9.07686895505612e-10,7.706296530295842e-09,-6.12485067976457,1
M00179,Pos,2.03359630774102,-2.02465299294505,3.65743636315193,0.00041088220590100697,0.00108588296678814,3.5329937366098196,1
M00183,Pos,4.33259046013052,8.329731563334649,10.103804556833,1.53294046577899e-16,9.004863917916859e-15,8.25391059651891,1
M00188,Neg,-4.630493020815633,5.058958726620143,-7.546539745179543,2.3255883994594044e-07,9.830627111183353e-07,-6.42194206260442,3
M00189,Neg,-2.413077975785475,0.8590910679629604,-3.7181429651549447,0.0005576090249170712,0.0014044488541221831,-3.5969262556164656,2
M00190,Neg,-5.01964059863874,3.24097854907796,-9.045281753835154,3.9914369302222476e-13,8.988147289219269e-12,-7.624440619895136,3
M00193,Pos,4.034379152654225,-0.703501155255939,5.6203012141250905,3.3325331769143904e-07,1.447134185121284e-06,5.266514111446146,2
M00196,Neg,-2.7304556113671095,5.123848027020642,-4.24672861112004,0.00023405556000869412,0.0006146565026328164,-4.05804527983927,3
M00197,Neg,-2.7304556113671095,5.123848027020642,-4.24672861112004,0.00023405556000869412,0.0006146565026328164,-4.05804527983927,3
M00198,Neg,-2.9474394854063397,0.705483065136805,-4.59802107823328,1.19510022364931e-05,4.0501779432590705e-05,-4.37847978786381,1
M00200,Neg,-2.7748876861904597,8.14430006512028,-4.30288653358906,3.709047032041071e-05,0.00011634284258271201,-4.12489451926727,1
M00205,Neg,-4.13138190147893,1.90217435382938,-4.75100128106926,5.94674352507938e-06,2.1367492721717102e-05,-4.5282740113154105,1
M00206,Neg,-2.7748876861904597,8.14430006512028,-4.30288653358906,3.709047032041071e-05,0.00011634284258271201,-4.12489451926727,1
M00207,Pos,3.058241065127575,9.049394052170536,7.0494745148949,3.2506852899799727e-09,2.212861321805022e-08,6.13182257619911,2
M00210,Neg,-4.887779028068031,2.6081768626947466,-8.327137103647216,5.8589720958595224e-12,8.8504467602152e-11,-7.197244305434206,3
M00211,Pos,3.878278106204755,1.3441809425384545,5.290009342313556,8.041346482491832e-05,0.0002259799330629552,4.942325456884615,2
M00212,Neg,-3.127421457202633,4.197153717777474,-4.735884562551227,0.0008641381165404904,0.002055240628716863,-4.4833580572409835,3
M00214,Neg,-3.7756821880406637,0.883080147990645,-5.9953679235480095,4.906090431704167e-07,2.0657669862360012e-06,-5.5002781293296605,3
M00222,Pos,4.330931125855891,7.259705629278541,10.032139961745962,4.2694942137996364e-13,9.019328057976624e-12,8.4395457693937,4
M00223,Pos,6.3552588213038765,5.091897009165524,10.811648494523986,1.9610682224762378e-13,4.664477786046099e-12,8.428809826450333,3
M00227,Neg,-3.86819411974399,1.90569588150175,-5.716412758683691,7.401110858339959e-08,3.9306995613402794e-07,-5.381150925766961,1
M00228,Pos,3.9547480007647993,4.9831599162151505,6.340221995809504,7.107774841682445e-08,3.5727883649953905e-07,5.6282925962257,2
M00233,Neg,-4.111353865291425,2.0662557296305213,-5.771484286967845,2.8814934716339044e-07,1.2213035537143286e-06,-5.3630890108998726,4
M00236,Pos,2.81762975559887,8.12118382881422,10.7969988144613,8.56328612093578e-17,5.35481617594646e-15,8.32318192444159,1
M00237,Neg,-4.943180289001134,2.2809122932206822,-7.282698966685141,1.4149002190130634e-09,1.0369141514231707e-08,-6.351138078890296,5
M00242,Neg,-4.45741282632646,6.036745874525363,-9.724684294347538,1.3167507949606348e-10,1.2777926600804409e-09,-6.808748194852947,3
M00243,Neg,-3.1517855549772604,3.256995480995663,-4.251347790491127,0.0008479322020618132,0.0020232829169851137,-4.048822860223893,3
M00244,Pos,5.88288437784741,4.784144637240525,9.86397399463915,1.3702766908322191e-12,2.656281372642485e-11,8.324943714578545,2
M00250,Neg,-4.878533584091274,0.6402363239432243,-8.25837604834379,1.2295874067395563e-11,1.7456545864773492e-10,-7.260131321580365,2
M00251,Neg,-3.18957051287324,-0.47118516659045706,-4.34757651322259,3.0658537278635804e-05,9.766898030342741e-05,-4.16851887764378,1
M00255,Neg,-4.804671710337935,3.09419653030904,-6.86201362884848,7.72806086224674e-09,4.775552105743135e-08,-6.14436513064656,2
M00256,Neg,-3.781959779528055,5.662263598584305,-6.574815328197735,1.6735827095642948e-09,1.29151261373434e-08,-6.0294854044615995,2
M00260,Pos,2.31299817126861,9.73381813126874,9.183259532108359,4.5203253034536905e-14,1.4851950170754198e-12,7.545073487861509,1
M00266,Neg,-5.39435088626475,3.73294797906661,-6.9209700481206395,2.13842420363845e-09,1.59840838451877e-08,-5.986927212664981,1
M00267,Neg,-3.68829375698304,4.9299759455475005,-4.76902766258903,9.388231177611e-06,3.2325197402840005e-05,-4.43080418632671,1
M00268,Pos,5.82347258974689,8.33192014959933,11.768389595673302,6.77660102007835e-18,6.91391635653783e-16,8.618619709326,1
M00269,Pos,2.3050077098743103,6.19721028458066,4.29599668480777,3.14062218234028e-05,9.972311384875709e-05,4.16302263683675,1
M00271,Pos,5.55551402424097,4.18674386399352,8.08830870084568,3.49019997801655e-13,8.961261797861039e-12,7.273990710949089,1
M00273,Pos,3.7036254991728503,-1.8630932744375401,6.47751317372491,4.5757467272240106e-09,3.1906780686056604e-08,5.86190940343827,1
M00274,Pos,4.998655464747085,0.5691365377040435,6.968648617671031,2.2622627440078202e-10,2.1827339079243257e-09,6.459349796781154,2
