Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00269,Pos,2.403557584,6.197210285,4.871369836,2.66e-06,3.85e-05,4.695099503,1
M00271,Pos,3.1382266810000004,4.186743863999999,4.9876906960000005,1.43e-06,2.22e-05,4.82012233,1
M00273,Pos,2.290970452,0.21954771899999992,3.6898938665,0.002041345,0.009484065,3.556717206,2
M00274,Pos,3.6908575079999997,0.5691365375,5.425500756,8.551260000000001e-06,9.556735000000001e-05,5.1304116205,2
M00275,Pos,3.5398900569999996,5.253695711333334,6.232574701333334,2.577306333333333e-06,3.255591333333333e-05,5.696253421333334,3
M00276,Neg,-2.1057621330000003,5.395209677,-3.746827531,0.000284482,0.0020731879999999997,-3.629035823,1
M00277,Neg,-2.277352467,2.616438955,-3.351773096,0.0011047869999999999,0.006489784,-3.262385838,1
M00281,Neg,-3.135853954,2.825834299,-4.006620797,9.66e-05,0.000834314,-3.8989196039999996,1
M00283,Pos,3.180337446,6.516288702333333,6.147273343999999,8.86e-09,2.526666666666667e-07,5.781243391333334,3
M00299,Neg,-2.834965769,4.8055532775,-5.12689396,5.1105e-06,6.334299999999999e-05,-4.8532651775,2
M00307,Neg,-2.3436869905,5.409851786499999,-3.8451557165,0.000826939,0.004610724,-3.601691316,2
M00311,Neg,-2.3341236625,3.9808747049999997,-3.3079621845,0.0018660645,0.009510093,-3.199901167,2
M00335,Neg,-2.6182728995,3.3790893915,-3.9187671695000006,0.000645167,0.0036690635,-3.7722904629999996,2
M00338,Pos,4.157625836,5.508188597999999,7.7117072460000005,5.7600000000000005e-12,4.14e-10,6.885451112999999,1
M00344,Pos,2.217801933,3.42227748,3.230069952,0.001553956,0.008497443,3.1644139680000003,1
M00346,Neg,-2.693308749,2.944966637,-4.2346748860000005,4.5299999999999997e-05,0.00044337,-4.078710554,1
M00346,Pos,2.3417854080000002,8.611944224,5.868168684,4.6200000000000003e-08,1.11e-06,5.465163398,1
M00347,Neg,-3.0035951069999998,3.2031728060000004,-4.474380727,1.7899999999999998e-05,0.00019733200000000001,-4.29019342,1
M00357,Neg,-3.581599953,3.177914714,-4.8401153610000005,4.8e-06,6.54e-05,-4.573401273,1
M00359,Neg,-2.4307262215,7.3257493425,-4.937872137499999,7.5385e-05,0.0006092035,-4.4860050145,2
M00360,Neg,-2.4307262215,7.3257493425,-4.937872137499999,7.5385e-05,0.0006092035,-4.4860050145,2
M00361,Neg,-2.130828283,4.8222161230000005,-3.091598832,0.002818266,0.013936758,-2.986894869,1
M00362,Neg,-2.130828283,4.8222161230000005,-3.091598832,0.002818266,0.013936758,-2.986894869,1
M00362,Pos,2.874289217,5.2011980730000005,4.5788072930000006,1.42e-05,0.000164941,4.340598031,1
M00364,Neg,-2.6858884819999997,1.937906275,-3.915279042,0.000150626,0.001214087,-3.790035532,1
M00365,Neg,-2.6858884819999997,1.937906275,-3.915279042,0.000150626,0.001214087,-3.790035532,1
M00373,Neg,-2.1965226733333334,5.128979988333334,-3.2320534036666664,0.0065763366666666675,0.024031147333333336,-3.122125452,3
M00374,Neg,-2.2891651667999997,4.9987535524,-3.1215692808,0.005906904400000001,0.023315261799999997,-3.0044446406,5
M00374,Pos,2.8874142669999996,7.175030091,5.603920458499999,8.100835000000001e-06,9.10395e-05,5.169604738,2
M00375,Neg,-2.1965226733333334,5.128979988333334,-3.2320534036666664,0.0065763366666666675,0.024031147333333336,-3.122125452,3
M00376,Neg,-2.375539863,5.2349130445,-3.5624763725,0.001375227,0.0069274670000000005,-3.4101918512500005,4
M00376,Pos,3.5019002489999997,7.212122919,6.737834607999999,1.6699999999999998e-09,6e-08,6.0268240220000004,1
M00377,Neg,-2.5163654380000002,0.997044629,-3.93938041,0.000136332,0.001122208,-3.814729493,1
M00378,Pos,3.6554161560000002,-1.5728744159999999,6.404386495,5.25e-09,1.6e-07,5.83915792,1
M00389,Neg,-2.012995251,4.711257053,-2.87869624,0.005289685,0.023384387000000003,-2.788842111,1
M00394,Neg,-3.030794275,7.562303107000001,-5.809397515,4.8e-08,1.14e-06,-5.458728707000001,1
M00428,Neg,-4.354562976,4.910823703,-6.540743429,7.030000000000001e-10,2.73e-08,-6.165330537999999,1
M00432,Neg,-2.1261969363333333,0.021037825666666666,-3.2469841883333337,0.0020875810000000002,0.010359316,-3.173238012666667,3
M00434,Neg,-3.6593718060000002,2.7281501460000004,-6.27994928,4.770000000000001e-09,1.48e-07,-5.855128204,1
M00434,Pos,3.0728419645,7.7104799239999995,7.098966568,8.268500000000001e-10,3.0046500000000004e-08,6.4885179665,2
M00450,Neg,-2.773716248,0.643955895,-4.461506346,1.7899999999999998e-05,0.00019733200000000001,-4.290025551,1
M00458,Pos,2.584776881,4.939696362,4.825709882,3.01e-06,4.31e-05,4.670023081,1
M00461,Neg,-3.0366733139999997,4.942539564,-4.835689011,3.91e-06,5.489999999999999e-05,-4.616353655,1
M00495,Pos,5.959599782000001,1.474273588,8.5328179075,1.725e-14,2.9100000000000003e-12,7.669517423499999,2
M00499,Neg,-5.514184436,3.962639934,-8.54479305,4.27e-14,6.129999999999999e-12,-7.552420791,1
M00525,Pos,4.2414853636666665,1.20314122,6.476305505333333,7.421943333333333e-08,1.4589099999999998e-06,5.965718757,3
M00526,Neg,-2.058497065,5.835284754,-3.0508482260000003,0.0032219859999999996,0.015547047,-2.945725134,1
M00527,Pos,3.364278262,4.113554937,5.465448735,2.22e-07,4.35e-06,5.179653633,1
M00532,Neg,-2.7588540735000002,3.188682155,-4.0749975295,0.000104762,0.0008740385,-3.9236108764999997,2
M00532,Pos,2.58187241,6.2677913505,5.2120317074999996,5.3231e-06,6.49695e-05,4.935200228499999,2
M00533,Neg,-2.66713929,2.0613228080000003,-4.208098937,4.41e-05,0.000434569,-4.084720702,1
M00535,Neg,-2.1261969363333333,0.021037825666666666,-3.2469841883333337,0.0020875810000000002,0.010359316,-3.173238012666667,3
M00541,Neg,-2.1403326985,2.8489549810000003,-2.774262201,0.006436768,0.027623495999999997,-2.725029372,2
M00549,Neg,-2.5179732969999997,4.957029667,-3.208088514,0.00181768,0.009747089,-3.118509945,1
M00549,Pos,2.874289217,5.2011980730000005,4.5788072930000006,1.42e-05,0.000164941,4.340598031,1
M00550,Pos,3.6198690746000004,6.0783227555999995,6.523029150400001,5.386035999999999e-09,1.5454360000000002e-07,6.1102585714,5
M00554,Pos,2.874289217,5.2011980730000005,4.5788072930000006,1.42e-05,0.000164941,4.340598031,1
M00565,Neg,-2.58986347325,6.4987123835,-4.2478093505,0.00017360525000000002,0.0012419115000000002,-3.9569728502499997,4
M00569,Pos,5.931667486,2.130668261,8.626827967,1.3e-14,2.4e-12,7.70575129,1
M00570,Neg,-3.027290879,3.4754324864,-4.5554935376,0.00027298732000000006,0.0016649902000000002,-4.218521485600001,5
M00572,Neg,-2.473355081,3.2261324630000003,-3.362735613,0.001078023,0.006371184,-3.2693304189999997,1
M00573,Neg,-2.695157182,1.929554861,-4.039642667,9.690000000000001e-05,0.000834432,-3.89834637,1
M00577,Neg,-2.695157182,1.929554861,-4.039642667,9.690000000000001e-05,0.000834432,-3.89834637,1
M00579,Neg,-3.581599953,3.177914714,-4.8401153610000005,4.8e-06,6.54e-05,-4.573401273,1
