UID,SID,CST,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB022_W2D1,UAB022,IV,3.242727231,3.016895095,0.954724791,1.956648579,0.960946196,-0.232844134,1.933993164,2.309849388,3.472258114
UAB022_W4D1,UAB022,IV,3.491082114,3.095302236,1.456366033,-0.173925197,1.167317335,0.591064607,1.915399835,2.393194261,3.618758503
UAB022_W6D1,UAB022,IV,3.172278841,2.846015293,2.259192365,1.457881897,1.26245109,0.991669007,2.555485017,2.618039725,3.164423646
UAB028_W3D7,UAB028,IV,3.37299407,2.422399404,-0.68613278,-2,-2,-0.663540266,2.522940845,2.43010248,3.283822521
UAB028_W7D7,UAB028,IV,3.67276874,2.576682201,-2,-0.517126416,-1.879426069,0.359835482,2.087887849,2.722607601,2.523682748
UAB035_W2D7,UAB035,IV,3.216652726,2.667728386,0.92992956,1.507855872,-2,1.888179494,2.115653773,2.66430061,2.790801506
UAB035_W3D6,UAB035,IV,3.219938261,2.652771239,2.18167498,2.00358546,1.071882007,1.238046103,2.351490957,2.751930058,2.752070738
UAB035_W5D7,UAB035,IV,3.500107018,2.866260749,1.667452953,1.733197265,0.907411361,2.005180513,1.614897216,2.228151312,3.178232833
UAB035_W7D4,UAB035,IV,3.254426496,1.305351369,1.753583059,-2,-2,-2,2.540783557,2.763439974,3.078245057
UAB035_W9D7,UAB035,IV,3.470881579,3.010245666,1.574031268,1.133538908,-2.282329497,-1.062983893,1.28780173,2.746108525,3.73868299
UAB038_W3D7,UAB038,IV,3.238394654,2.258548691,1.130333768,-0.385102784,-2,-2,1.990338855,2.530733591,2.592535374
UAB038_W7D4,UAB038,IV,2.854486404,1.86923172,2.212192933,-0.328827157,-2,-0.48148606,1.462397998,3.032634473,2.834062565
UAB038_W9D7,UAB038,IV,3.045159403,2.682770335,-2,0.878521796,-2,0.825426118,0.588831726,2.492335662,3.238465886
UAB039_W1D7,UAB039,IV,3.408832814,3.074488403,2.156382549,1.900367129,-0.950781977,-2,1.702430536,2.29670467,3.013036196
UAB039_W3D6,UAB039,IV,3.571859237,2.529133793,0.463892989,-2,-2,0.292256071,0.567026366,2.302902107,1.667452953
UAB039_W5D7,UAB039,IV,3.222493545,2.828427867,2.593458864,1.350248018,-1.231361899,-0.485452247,1.949390007,2.394248496,2.203155321
UAB039_W7D7,UAB039,IV,3.495019537,2.712235409,1.94792362,0.774516966,1.383815366,-0.494850022,2.044418235,2.507449711,3.541850219
UAB039_W9D7,UAB039,IV,3.162001012,3.024321853,1.537819095,0.654176542,0.303196057,-2,1.489958479,2.317618373,3.069175445
UAB048_W1D7,UAB048,IV,3.452839128,3.25103295,2.497296016,1.887054378,-0.174573882,1.627365857,1.928395852,2.011879034,3.2475697
