,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00436,-0.297322422,0.576191895,-3.352459681,2.17E-05,I_IV
K00437,0.31401614,0.542390267,-1.452327975,0.070547946,I_IV
K00446,1.068618841,0.031379057,-0.177104088,0.907689426,I_IV
K00449,,,-0.005896019,0.996969002,I_IV
K00459,-4.190076823,1.62E-07,-5.016526941,2.87E-11,I_IV
K00462,1.417912184,0.002507127,1.080310913,0.07010886,I_IV
K00480,0.947166722,0.052566201,,,I_IV
K00491,,,-0.88242136,0.203999677,I_IV
K00492,0.543003328,0.324869749,-1.179097079,0.199099715,I_IV
K00493,1.289761575,0.014114534,0.143488196,0.910947677,I_IV
K00494,-1.818254741,0.007337662,-2.609793139,0.000476419,I_IV
K00496,,,-0.232114904,0.870006285,I_IV
K00508,0.86623757,0.063652689,0.060537881,0.972782775,I_IV
K00510,0.739030295,0.132751351,-0.179134485,0.918637796,I_IV
K00517,0.148288203,0.845691451,-2.214850584,0.001303802,I_IV
K00520,0.098917763,0.921026935,-2.204001789,0.022310555,I_IV
K00521,,,-0.012371839,0.992080678,I_IV
K00522,1.111297264,0.026554039,,,I_IV
K00525,2.474460195,1.57E-15,0.823633861,6.25E-06,I_IV
K00526,2.515815891,3.17E-13,1.906378496,1.28E-18,I_IV
K00527,1.991867565,2.69E-15,0.183877145,0.077556665,I_IV
K00528,-3.493977002,2.59E-06,-7.519933196,4.94E-23,I_IV
K00532,-4.152190463,4.23E-08,-5.454990046,3.97E-11,I_IV
K00533,-1.699893094,0.027452922,-3.370603135,4.21E-05,I_IV
K00536,1.536511713,0.044229467,1.912859009,0.027615836,I_IV
K00537,4.366561223,2.18E-13,3.688070252,5.37E-26,I_IV
K00540,3.239372746,2.49E-21,1.907583206,4.86E-25,I_IV
K00547,3.116554198,2.90E-06,5.573938697,5.78E-27,I_IV
K00548,-1.975295024,0.001700345,-4.198212665,1.39E-07,I_IV
K00549,-1.103772397,0.084193053,-0.361483313,0.068999818,I_IV
K00551,0.980911419,0.04400238,,,I_IV
K00554,-1.376886061,6.07E-05,-0.479443754,4.29E-07,I_IV
K00556,,,0.120816337,0.93110945,I_IV
K00557,0.535294625,0.268550849,-0.939555352,0.12530477,I_IV
K00558,-4.249352898,3.65E-09,-4.184911569,4.69E-10,I_IV
K00560,2.107518778,1.13E-06,0.387218691,7.91E-05,I_IV
K00561,-0.465426207,0.67559036,-1.215417388,0.232063045,I_IV
K00563,-0.053322669,0.94021109,-0.33002053,0.874004395,I_IV
K00564,0.644404504,0.309843739,0.858710749,6.98E-06,I_IV
K00566,0.612853074,0.053173616,1.071691645,1.29E-09,I_IV
K00567,-1.766481078,0.02570786,-3.01876083,6.33E-06,I_IV
K00568,0.890282813,0.056046053,-0.231137215,0.862190809,I_IV
K00571,0.393260071,0.257279231,1.670830624,4.37E-12,I_IV
K00573,0.960854989,0.040634549,0.212454562,0.838262953,I_IV
