,MT_FC,MT_p,MG_FC,MG_p,Comparison
K01463,0.737517839,0.219228195,0.804644621,0.000505839,I_III
K01464,-0.320206313,0.764301549,-1.44044951,0.161570586,I_III
K01465,1.103421791,0.031285753,-0.219019323,0.19132664,I_III
K01466,-1.561650861,0.062339344,-3.778451396,0.002181837,I_III
K01467,0.196655564,0.780034731,0.03464963,0.896908276,I_III
K01468,-0.514310634,0.70925771,-2.255675369,0.018971647,I_III
K01469,0.387187879,0.612230498,,,I_III
K01470,-0.116127513,0.902044275,-0.47280857,0.517588326,I_III
K01471,0.4126939,0.641108579,,,I_III
K01473,-0.235814814,0.759579197,-1.186847372,0.228653203,I_III
K01474,0.030493094,0.982466841,-1.313776485,0.110563794,I_III
K01476,-0.497945587,0.541724577,-0.330456395,0.732642785,I_III
K01478,0.79040301,0.245177748,3.496409938,9.00E-13,I_III
K01479,-0.543096153,0.480236241,-1.747032414,0.071852479,I_III
K01480,-0.475225281,0.61887421,-1.901003344,0.054923839,I_III
K01482,0.180083401,0.87606012,-1.687538844,0.029192177,I_III
K01483,,,-0.45301549,0.561953624,I_III
K01484,,,0.017350105,0.980968284,I_III
K01485,-0.701968968,0.361793147,-1.500063511,2.11E-05,I_III
K01486,1.084650007,0.347944509,2.9827817,0.005163666,I_III
K01487,-4.41014273,4.93E-08,-7.027559445,1.95E-21,I_III
K01488,4.266114667,7.27E-08,3.91901421,4.27E-13,I_III
K01489,-1.072895327,0.224248161,-1.859994421,0.018383639,I_III
K01491,0.819648543,0.005049547,-0.028861176,0.828396755,I_III
K01492,-1.77313384,0.045396368,-1.939303797,0.04258548,I_III
K01493,0.84375972,0.064824027,0.126127083,0.61937322,I_III
K01494,-3.222850931,1.40E-05,-2.961735803,0.00090781,I_III
K01495,-5.19561766,1.60E-10,-6.065052642,1.89E-21,I_III
K01496,-0.537156624,0.500879995,-1.405327404,0.108193784,I_III
K01497,-0.353336594,0.61887421,-0.355285789,0.661042118,I_III
K01500,-1.8095944,0.01189681,-3.809997921,2.40E-05,I_III
K01501,-0.348953534,0.683603097,-1.560073728,0.093054214,I_III
K01506,0.077215131,0.940455128,,,I_III
K01507,-0.034015642,0.936153609,-0.106290712,0.649483031,I_III
K01509,-0.305419377,0.754679289,-1.82605405,0.164972681,I_III
K01512,1.857938482,0.011993039,4.493518461,3.54E-10,I_III
K01514,-1.041198525,0.186865258,-2.186133057,0.03141786,I_III
K01515,-0.1660629,0.756528558,0.361903069,0.127324217,I_III
K01516,-0.683071679,0.13099684,0.670580315,1.02E-05,I_III
K01518,-0.423237888,0.718853952,-0.665500233,0.561402434,I_III
K01520,0.54293298,0.277876053,0.142404279,0.420934181,I_III
K01521,,,-0.351605668,0.663206203,I_III
K01523,-0.168961878,0.877485439,-0.125475338,0.886534979,I_III
K01524,-2.608257362,0.000674137,-2.503943185,0.000653769,I_III
K01525,-0.196212964,0.83243558,-0.470247135,0.555982165,I_III
K01529,0.368130292,0.421472879,2.112351458,1.86E-06,I_III
K01530,0.162577307,0.86361896,-0.519665064,0.516084185,I_III
K01531,0.937862198,0.003143052,0.823680197,8.43E-05,I_III
K01533,-0.299654189,0.682894502,1.09449736,5.57E-05,I_III
K01534,-1.540770442,0.039981423,-0.044711255,0.962728594,I_III
K01535,1.729893685,0.026098862,1.133799291,0.000818781,I_III
K01537,-0.143681084,0.72266442,1.164261015,1.11E-08,I_III
K01541,-1.211996286,0.167454436,-2.191443189,0.030278594,I_III
K01546,-0.428006525,0.690285545,-2.067750454,0.045471126,I_III
K01547,-0.929748986,0.314464075,-2.283227939,0.026978431,I_III
K01548,-0.607410716,0.497102462,-1.521879663,0.1304573,I_III
K01551,-0.58270002,0.454792961,-1.854224224,0.038503634,I_III
K01552,0.816086839,3.38E-05,1.428251112,1.62E-10,I_III
K01554,-1.056844019,0.14278114,-1.619349514,0.138323438,I_III
K01560,-0.400811069,0.560261918,-0.876616547,0.348110227,I_III
K01563,,,-0.550441549,0.483682041,I_III
K01564,-0.729524607,0.387562556,-1.745554303,0.056600188,I_III
K01567,-2.869440139,7.50E-05,-2.699711428,0.000708104,I_III
K01568,0.153385573,0.875352493,,,I_III
K01571,-1.598157376,0.103527874,-2.810171432,0.00287229,I_III
K01572,-0.827490544,0.457278765,-2.600822405,0.010046095,I_III
K01574,1.391029372,0.120023596,1.937654049,0.068096056,I_III
K01575,-0.572767195,0.630857119,-1.659942604,0.211258307,I_III
K01577,4.62437194,3.83E-07,7.976214705,2.93E-15,I_III
K01579,-1.726264829,0.034745126,-2.966661657,0.000755781,I_III
K01580,-0.629015558,0.669929353,-1.178874559,0.199193558,I_III
K01581,0.740863283,0.164239766,4.39117216,8.46E-16,I_III
K01582,-2.637312352,0.000294001,-3.859958505,0.000232233,I_III
K01583,0.097887329,0.917872023,-0.926317513,0.148327121,I_III
K01584,-0.871434777,0.198524856,-0.310538967,0.714506619,I_III
K01585,-0.765293661,0.50733031,-2.857606092,0.014264428,I_III
K01586,1.236575157,0.063693781,3.829985814,3.14E-14,I_III
K01588,-2.318229318,0.00128287,-2.967368046,1.81E-06,I_III
K01589,-2.572489318,0.00261632,-2.035453103,0.004294963,I_III
K01590,0.680130591,0.361522933,-0.292922084,0.753032475,I_III
K01591,0.07514039,0.940455128,-0.220068018,0.415269799,I_III
K01592,0.039769325,0.975615174,0.578422833,0.583348275,I_III
K01593,,,-0.477954007,0.531537762,I_III
K01595,1.404478464,0.003864158,4.41531252,2.90E-14,I_III
K01596,-0.784263111,0.570968486,-2.134511885,0.11813928,I_III
K01597,-1.020949611,0.16583028,0.22465973,0.550643056,I_III
K01598,-0.205579832,0.832937361,-1.017004425,0.404640319,I_III
K01599,-1.580065606,0.069668504,-2.288129229,0.012665147,I_III
K01601,-0.357220472,0.674379885,-2.372488923,0.001956246,I_III
K01607,2.092111683,0.006432704,4.334058394,1.90E-14,I_III
K01608,,,-0.470379274,0.577754508,I_III
K01609,-1.369334044,0.082106817,-2.980348611,0.000822073,I_III
K01610,2.234920099,1.30E-08,5.282982741,4.09E-11,I_III
K01611,-1.751457861,0.038349206,-3.463516899,1.39E-05,I_III
K01613,-0.117865883,0.955768391,-4.027867952,1.47E-05,I_III
K01615,-1.513956964,0.081665073,-2.928762424,0.002158548,I_III
K01616,-0.400515663,0.657364614,-1.097263866,0.366592803,I_III
K01619,-1.547222858,0.064970524,-2.177254578,0.009423124,I_III
K01620,-1.550741435,0.042910628,-2.470117362,0.01957301,I_III
K01621,1.13795079,0.011593241,1.025093282,1.17E-05,I_III
K01623,-1.699373238,0.102355626,-2.482729686,0.010612839,I_III
K01624,-0.149669297,0.718891486,-0.445926601,0.005105265,I_III
K01625,0.105451436,0.952814831,5.233645857,9.73E-14,I_III
K01626,-2.744809666,0.003387941,-3.845760609,4.03E-06,I_III
K01627,-0.939967039,0.33418392,-3.098102902,0.001872925,I_III
K01628,-2.771233715,0.000353111,-3.089294739,1.09E-05,I_III
K01629,-0.663909276,0.284976443,-1.44348577,0.127957079,I_III
K01630,,,-0.382943509,0.638496261,I_III
K01631,,,-0.287476883,0.714506619,I_III
K01632,-1.764328495,0.026798158,-4.131648243,0.001430802,I_III
K01633,-3.363094961,9.95E-07,-5.192513957,5.13E-14,I_III
K01634,0.150628506,0.870985082,,,I_III
K01635,-3.399548712,6.43E-06,-5.125773093,1.63E-09,I_III
K01636,-0.443209201,0.679820545,-3.733172712,0.000173278,I_III
K01637,0.175823883,0.904744679,-1.29054182,0.258015852,I_III
K01638,-0.662630361,0.419768502,-0.611515589,0.626000116,I_III
K01639,5.278208085,4.51E-12,5.831981597,1.37E-18,I_III
K01640,-0.070392416,0.949305604,,,I_III
K01641,-1.242182706,0.065602094,-2.05611704,1.45E-08,I_III
K01643,3.759505881,3.16E-07,4.139456389,2.97E-12,I_III
K01644,3.655835381,6.74E-08,4.789528559,2.24E-17,I_III
K01646,4.185632211,4.45E-08,4.424402472,3.16E-13,I_III
K01647,-2.006582481,0.023075864,-2.183678416,0.052862588,I_III
K01649,-1.789460427,0.017808329,-2.729809222,0.008481774,I_III
K01652,-3.896406147,1.55E-06,-3.939103371,2.03E-05,I_III
K01653,-1.966373469,0.003948621,-2.857029921,0.001509593,I_III
K01654,-1.250712014,0.052737326,-3.940946369,5.51E-06,I_III
K01657,-1.220636668,0.142892683,-3.470777266,7.07E-05,I_III
K01658,-1.144958511,0.104179248,-3.043400863,0.000523955,I_III
K01659,,,-0.578638164,0.49063556,I_III
K01661,-1.699334684,0.037909861,-2.006417431,0.037989457,I_III
K01662,1.123306086,0.08941626,4.326442606,3.95E-10,I_III
K01664,-1.322256451,0.015296447,-1.760101167,0.069935347,I_III
K01665,-1.261452696,0.089026515,-3.155052049,0.00167523,I_III
K01666,0.046142509,0.968303379,-0.355819941,0.642535174,I_III
K01667,-0.487676002,0.740119908,-1.335190747,0.20715213,I_III
K01668,0.184494688,0.826978212,,,I_III
K01669,-0.369984472,0.598235043,-1.674284361,0.11131014,I_III
K01671,,,-0.106951323,0.883570534,I_III
K01673,-2.297854485,0.001615026,-3.522250255,0.000127097,I_III
K01674,-0.159673819,0.859328659,-0.682828628,0.411727108,I_III
K01676,-2.134988926,0.020183994,-2.923587822,0.0143484,I_III
K01677,-0.370645797,0.698817368,-2.804208251,0.003864231,I_III
K01678,-0.095424391,0.944267278,-1.690431682,0.071762221,I_III
K01679,3.501900249,6.00E-08,3.366681934,1.32E-11,I_III
K01681,-1.955028945,0.031081097,-2.860595085,0.005936594,I_III
K01682,-0.805817735,0.231282277,-0.182654105,0.830056932,I_III
K01684,-2.025767933,0.036811529,-3.752501973,0.000233076,I_III
K01685,-0.710652391,0.331266632,-0.620417803,0.565928747,I_III
K01686,-1.989759533,0.061740192,-4.313271589,2.18E-06,I_III
K01687,-3.257176732,7.06E-05,-3.543718068,0.000175382,I_III
K01689,0.026516907,0.962656358,-0.977382542,7.82E-16,I_III
K01690,-0.146159295,0.897264222,-0.843882277,0.310211404,I_III
K01692,-0.367522701,0.709675491,-2.182110008,0.018857155,I_III
K01693,-0.35884685,0.699976784,-0.596093853,0.60856317,I_III
K01695,-0.931681232,0.209649455,-3.080797673,9.13E-05,I_III
K01696,-3.29089055,0.000142639,-2.64431011,0.001589844,I_III
K01697,-1.111980038,0.296792236,-0.985988876,0.410578035,I_III
K01698,-1.281067229,0.237886695,-2.621710523,0.012101347,I_III
K01699,0.052809616,0.965302129,-0.407039741,0.624840554,I_III
K01703,-2.071261219,0.020877742,-2.639109359,0.006058421,I_III
K01704,-2.117243923,0.005730202,-1.81333892,0.059787321,I_III
K01706,-0.50060156,0.489917101,-0.563088182,0.572767924,I_III
K01708,-0.164290629,0.853419588,-0.167062688,0.835458662,I_III
K01709,0.119735863,0.905378035,-0.563219131,0.473952473,I_III
K01710,-3.720321474,8.65E-07,-3.206889588,4.34E-06,I_III
K01711,-0.552525987,0.698484414,-2.446949653,0.033994501,I_III
K01712,-0.883618972,0.436833146,-2.686177581,0.008952291,I_III
K01713,-2.042793855,0.009970567,-3.964250267,0.000129601,I_III
K01714,1.194046064,0.036467528,3.2292914,2.78E-11,I_III
K01715,-2.012092428,0.065839247,-1.432563763,0.224069788,I_III
K01716,,,-0.545302743,0.484956092,I_III
K01718,-0.488446607,0.728504183,-0.72557249,0.569546845,I_III
K01719,-1.526981051,0.146886472,-2.524180231,0.016531931,I_III
K01720,-0.274630514,0.731364644,-0.687297655,0.556058064,I_III
K01724,-0.103119225,0.923363676,-0.900055552,0.353683288,I_III
K01726,-2.366408094,0.003315568,-3.391130674,0.000534916,I_III
K01727,-1.092176459,0.288600043,-1.907691031,0.068289658,I_III
K01728,0.0401377,0.972933038,,,I_III
K01733,1.594781577,0.007622993,3.43866109,5.63E-16,I_III
K01734,-0.516195448,0.582296475,-1.673039612,0.060916595,I_III
K01735,-2.732728659,0.000548731,-3.406327457,0.000179506,I_III
K01736,-3.876322136,1.51E-07,-3.603069141,3.56E-07,I_III
K01737,0.3350198,0.833963322,1.827818496,0.042417683,I_III
K01738,-3.204627694,3.38E-05,-3.300101815,2.00E-05,I_III
K01739,-0.575970174,0.567183921,0.638529066,0.6506014,I_III
K01740,-2.735296828,0.000366158,-2.121486894,0.014210544,I_III
K01741,-0.425985115,0.726874071,-0.778729185,0.478447874,I_III
K01744,-1.855486361,0.018726736,-2.961491068,0.003162186,I_III
K01745,-0.429789497,0.766597408,-2.088939677,0.046914034,I_III
K01746,-1.084391756,0.247773772,-2.298043936,0.011568308,I_III
K01749,-1.334084853,0.103230107,-2.074419979,0.043697079,I_III
K01750,-0.647715122,0.575552767,-1.438477905,0.150228679,I_III
K01751,0.528872821,0.679820545,-1.129774234,0.333884375,I_III
K01752,-2.244859522,7.10E-07,-0.453112559,0.02438685,I_III
K01753,-0.04532723,0.975915088,-1.362027058,0.140890407,I_III
K01754,-2.377129587,0.006857947,-3.17946057,0.001013874,I_III
K01755,-2.736591136,0.000931396,-3.860704106,5.21E-07,I_III
K01756,-0.949349964,0.001629717,0.342237523,0.001216024,I_III
K01758,4.157625836,4.14E-10,4.067709797,9.38E-13,I_III
K01759,-2.453856932,0.002630555,-1.618815145,0.099453868,I_III
K01760,-0.342031793,0.783114598,-1.002277666,0.337568324,I_III
K01761,-1.663924817,0.104207533,-1.343743226,0.176208607,I_III
K01766,-0.030796469,0.98157986,-0.459153902,0.583348275,I_III
K01768,-1.205987862,0.147084985,-3.016346245,0.001803145,I_III
K01770,-2.659450799,0.001731484,-2.535913008,0.004355482,I_III
K01771,-1.498738988,0.067559701,-2.832667926,0.017722398,I_III
K01772,-4.877846206,4.24E-10,-6.668319204,1.95E-21,I_III
K01775,0.653790146,0.0185947,0.240181043,0.163816681,I_III
K01776,-0.766845598,0.210833219,0.233564066,0.050371672,I_III
K01777,-1.297725074,0.198278687,-2.192287832,0.023246428,I_III
K01778,3.364278262,4.35E-06,5.26195313,5.06E-18,I_III
K01779,-0.911642538,0.126371787,0.5295779,0.168341954,I_III
K01780,0.060165573,0.969867267,-1.097756027,0.394877199,I_III
K01781,0.758932658,0.27600073,1.374927423,0.200202711,I_III
K01782,0.120996368,0.906717994,-0.73384658,0.553349826,I_III
K01783,-1.735362848,0.000255016,0.009182108,0.949875266,I_III
K01784,0.07907874,0.87606012,0.468916788,0.00791524,I_III
K01785,-0.359438834,0.490700631,0.438225935,0.058994463,I_III
K01786,3.465226265,3.27E-07,3.980379251,5.78E-05,I_III
K01787,0.107660016,0.950194622,-1.809796544,0.062844112,I_III
K01788,2.875218841,0.000291571,4.083983472,6.98E-14,I_III
K01790,-2.599100718,0.001186251,-3.427414615,5.87E-05,I_III
K01791,0.02636832,0.982466841,0.161933719,0.567439126,I_III
K01792,-1.394715322,0.130829358,-0.99844349,0.363367529,I_III
K01795,-1.88615147,0.013015318,-2.644226162,0.004013981,I_III
K01796,0.264407252,0.756528558,-1.054989669,0.171633602,I_III
K01797,0.121077115,0.904744679,,,I_III
K01798,,,-0.818940345,0.380140364,I_III
K01802,-1.499717703,0.03939572,-3.109124004,0.000672384,I_III
K01803,0.242142177,0.478537972,-0.297437346,0.040871534,I_III
K01804,-1.157189929,0.079701989,-3.003475918,0.006438717,I_III
K01805,-0.683215971,0.517221186,-4.388503818,1.13E-05,I_III
K01807,1.713738232,0.000138314,1.99917416,5.19E-11,I_III
K01808,-2.502346514,0.001781799,-2.904981999,0.001454232,I_III
K01809,0.988953664,0.003055893,0.806131552,0.000247246,I_III
K01810,-0.971797077,7.15E-05,0.016548439,0.92249767,I_III
K01811,-0.05024279,0.980565297,-2.229052483,0.1085118,I_III
K01812,-1.791710516,0.054106483,-1.901158918,0.067549861,I_III
K01813,-0.510657395,0.485397606,-1.001762379,0.327341372,I_III
K01814,-0.290362935,0.670850856,-2.029638402,0.012019105,I_III
K01815,-1.121871217,0.102141497,-1.564163548,0.11195376,I_III
K01816,0.035108609,0.977600986,-0.367400335,0.650901209,I_III
K01817,-1.890380413,0.032037932,-2.739341573,0.002568768,I_III
K01818,-1.050098615,0.312240479,-1.958835384,0.104216112,I_III
K01819,-2.827162653,7.30E-05,-0.528032704,0.415269799,I_III
K01821,5.931667486,2.40E-12,3.03640773,1.54E-05,I_III
K01823,-0.935105184,0.155971169,0.29964782,0.54929276,I_III
K01825,-0.263956102,0.740337907,-0.351860615,0.679091737,I_III
K01826,-2.66713929,0.000434569,-3.848292579,3.74E-05,I_III
K01828,-0.663382294,0.570968486,-2.270971341,0.026723268,I_III
K01829,0.745691272,0.561070899,-0.027074664,0.976361865,I_III
K01834,0.087545755,0.795753747,0.447561536,0.000527031,I_III
K01835,-0.263786161,0.580127478,0.302369654,0.202715284,I_III
K01838,-0.001776897,0.99788857,0.207367009,0.553128636,I_III
K01839,-1.712777327,0.040265178,-2.108813035,0.029368496,I_III
K01840,-1.638651867,0.010908994,-3.310737393,0.001256491,I_III
K01842,-0.280117285,0.700611448,,,I_III
K01843,-0.532046009,0.485605794,-0.997435068,0.373573186,I_III
K01844,-1.082421902,0.289281216,-0.207327159,0.847350726,I_III
K01845,-1.15460175,0.196768298,-2.876522888,0.003297176,I_III
K01846,-0.206934667,0.909366223,-1.93307977,0.09679682,I_III
K01847,-1.027984819,0.261749852,-2.426400787,0.015126392,I_III
K01848,-1.815585961,0.06465426,-2.675333368,0.003414983,I_III
K01849,-1.22353179,0.138921236,-1.641639903,0.015577645,I_III
K01850,0.043273857,0.977226677,-1.160367808,0.16983081,I_III
K01854,-3.329597966,3.24E-06,-2.40344524,0.003883878,I_III
K01856,0.88020912,0.225300709,0.363472902,0.746851183,I_III
K01857,0.122662107,0.915917177,-2.441991416,0.005883909,I_III
K01858,-2.159893159,0.017808329,-3.838800516,0.000976883,I_III
K01865,,,0.125031093,0.860069058,I_III
K01866,-0.723093486,0.01009313,0.091006396,0.463103209,I_III
K01867,-1.445043677,1.58E-05,-0.15606635,0.284267716,I_III
K01868,-0.553810799,0.010010446,0.114890182,0.424719851,I_III
K01869,4.47E-05,0.999828742,0.154159719,0.151497585,I_III
K01870,0.169519883,0.51105262,0.078891161,0.577754508,I_III
K01872,0.698490645,0.0003235,0.131993122,0.296528226,I_III
K01873,0.245448387,0.318680538,-0.116667817,0.35565902,I_III
K01874,0.040199222,0.916444716,0.154256968,0.254836613,I_III
K01875,-0.554185432,0.011661138,-0.228457367,0.041547594,I_III
K01876,-0.014175755,0.977910042,-0.20783128,0.067079021,I_III
K01878,-0.582917712,0.248107769,0.04046577,0.863658893,I_III
K01879,0.58984154,0.208195518,0.608884284,0.002611347,I_III
K01880,-2.01849668,0.001214087,-3.076008621,0.000152402,I_III
K01881,0.090168796,0.774848214,-0.022856293,0.848209239,I_III
K01883,0.215802493,0.505012356,0.180564574,0.189320739,I_III
K01884,-0.058099689,0.956068571,,,I_III
K01885,-2.842955763,4.32E-06,-3.326383651,0.000150344,I_III
K01886,-1.638063816,0.070007789,-3.193402164,0.004140457,I_III
K01887,1.565001654,4.16E-11,0.192194325,0.129422569,I_III
K01889,-0.210257941,0.71496414,0.258085792,0.09769782,I_III
K01890,-0.389948342,0.071801808,-0.006912955,0.961253721,I_III
K01892,-0.003471335,0.997386749,-0.148475454,0.303051439,I_III
K01893,-0.034599434,0.957142096,-0.026041981,0.908350369,I_III
K01894,0.004271612,0.99788857,-0.212126518,0.782127275,I_III
K01895,0.233156526,0.902044275,-4.011871211,6.78E-06,I_III
K01897,-2.174275204,0.002177659,-3.506780144,0.000171716,I_III
K01902,-2.163886699,0.022469378,-2.340290759,0.021623118,I_III
K01903,-2.345162847,0.006812011,-2.214823937,0.037651286,I_III
K01904,0.106625281,0.913395281,-1.3232202,0.082268251,I_III
K01905,0.147597309,0.895057794,-0.70456564,0.349728093,I_III
K01906,-0.930800552,0.139613621,-3.293961403,0.000178108,I_III
K01907,0.008637393,0.997386749,-0.420327772,0.585435445,I_III
K01908,-0.20894386,0.803983678,-0.228406786,0.769438588,I_III
K01910,4.022949559,2.61E-09,5.177817776,3.94E-19,I_III
K01911,-1.192771354,0.152661322,-2.727013675,0.00597869,I_III
K01912,-0.041253022,0.974084468,-0.925448894,0.354372627,I_III
K01913,-0.043991465,0.973079247,-1.454441338,0.133980548,I_III
K01914,-0.478059503,0.452606876,0.517851356,0.03824809,I_III
K01915,-0.063455903,0.904744679,-0.217290584,0.229671195,I_III
K01916,0.318395231,0.61887421,0.460036494,0.11354259,I_III
K01917,-0.376232751,0.628165564,-1.324755014,0.101789962,I_III
K01918,-2.548530676,0.001574964,-2.82353189,0.003217763,I_III
K01919,-1.636168585,0.058635709,-0.950840393,0.351230607,I_III
K01920,-0.251533698,0.757931104,-0.278838807,0.721749685,I_III
K01921,0.932064166,7.49E-05,0.21488082,0.120464926,I_III
K01922,-0.333872825,0.702229695,-1.535804914,0.216368927,I_III
K01923,-2.349340989,0.000563034,-2.805169329,1.06E-06,I_III
K01924,-0.244334814,0.552801492,-0.096464446,0.502287713,I_III
K01925,-1.88091217,1.44E-10,-0.185972114,0.281087999,I_III
K01926,-0.440409645,0.577454118,0.513059638,0.0586247,I_III
K01928,-0.586526261,0.035949556,0.386650946,0.018431813,I_III
K01929,-0.065613108,0.903967558,0.095435096,0.602755919,I_III
K01932,-1.239630113,0.220861443,-3.084790861,0.003818578,I_III
K01933,-3.238358618,1.28E-05,-2.560595041,3.29E-05,I_III
K01934,-1.334529952,0.027098502,0.6931596,0.011800778,I_III
K01935,-1.690160671,0.03939572,-2.963429442,0.001974588,I_III
K01937,-0.381287189,0.144838755,-0.101179073,0.58957239,I_III
K01938,-1.197440098,0.000362855,0.083547203,0.686365257,I_III
K01939,0.698778779,0.012415737,0.05522542,0.721024201,I_III
K01940,-3.345785821,3.38E-05,-3.530070196,1.36E-06,I_III
K01941,-0.921746879,0.360922516,-0.692067084,0.408881549,I_III
K01945,-0.193211019,0.877485439,0.337734501,0.716634118,I_III
K01950,-2.135777034,0.008158661,-3.221213005,0.00024352,I_III
K01951,0.203757005,0.582296475,0.058114125,0.647154787,I_III
K01952,-2.275537411,0.000307961,-2.927529843,1.95E-06,I_III
K01953,0.486032031,0.287371954,0.645029379,0.015577645,I_III
K01955,0.59628328,0.02185181,0.146714342,0.303842294,I_III
K01956,1.433159217,2.24E-06,-0.063806131,0.701260543,I_III
K01958,-2.299189571,0.006408268,-2.605646266,0.002753825,I_III
K01959,0.282348593,0.723334861,-0.853098779,0.206288957,I_III
K01960,-1.994866797,0.013160949,-3.101863804,0.010446844,I_III
K01961,1.52230709,0.154619563,4.110689584,3.05E-05,I_III
K01962,1.140837974,0.291888029,4.72151961,1.24E-05,I_III
K01963,1.172727505,0.287640198,4.059903846,0.000185637,I_III
K01966,-2.039187918,0.002405645,-3.392736382,0.00013889,I_III
K01968,-0.147523353,0.867632235,,,I_III
K01969,0.221255637,0.793461857,-0.345651373,0.750616709,I_III
K01971,0.189358384,0.827026393,,,I_III
K01972,0.272691742,0.464757031,0.134406128,0.391452396,I_III
K01974,,,-0.397656167,0.621593886,I_III
K01975,-0.151650286,0.890867459,-1.55638738,0.063921449,I_III
K01976,-1.382458271,0.087978492,-1.955185622,0.026205342,I_III
K01989,-0.5362461,0.609403469,1.368165346,0.000155621,I_III
K01990,-1.145631752,0.002348138,-0.372111137,0.010446844,I_III
K01991,-1.720125539,0.068008078,-2.953341095,0.009978657,I_III
K01992,-0.856285673,0.010915567,0.201588854,0.33998434,I_III
K01993,-2.241442239,0.006064323,-2.695715407,0.010774738,I_III
K01995,-1.928891846,0.034492111,-3.246254137,0.000511687,I_III
K01996,-1.324792775,0.216874295,-3.007525345,0.001100858,I_III
K01997,-1.184421926,0.200940074,-3.590433983,5.49E-05,I_III
K01998,-1.853828801,0.035587561,-3.537225752,0.000222452,I_III
K01999,-1.917835938,0.055606668,-3.873853555,3.29E-05,I_III
K02000,-1.083665391,0.253655137,-1.63072947,0.153215156,I_III
K02001,-0.98076229,0.387562556,-1.211482184,0.207595816,I_III
K02002,-1.043672846,0.288600043,-1.625747943,0.167906943,I_III
K02003,-0.674668523,0.022460342,-0.176077575,0.474167209,I_III
K02004,-0.719098272,0.025505533,0.604255366,0.000128087,I_III
K02005,-1.66247604,0.064632104,-2.382762098,0.006130925,I_III
K02006,0.355054632,0.35492915,0.02183429,0.906544312,I_III
K02007,-0.613019315,0.548741198,-0.877629299,0.39299404,I_III
K02008,0.470247703,0.424608901,0.126845919,0.583399253,I_III
K02009,0.035590792,0.98561348,-0.955784084,0.308684373,I_III
K02010,-3.872324871,4.25E-09,-4.842285906,2.90E-08,I_III
K02011,-2.018397275,0.004210866,-4.516368083,7.57E-06,I_III
K02012,-2.992344172,9.10E-05,-4.384615513,1.02E-06,I_III
K02013,1.560357488,0.015232974,2.722665528,8.58E-07,I_III
K02014,-1.63388174,0.006767984,-4.523808187,0.004482738,I_III
K02015,1.37626193,0.064422739,2.204616408,3.55E-05,I_III
K02016,-0.055210758,0.96978032,2.55409518,7.11E-06,I_III
K02017,-0.872962985,0.10473483,-2.919226043,0.000874768,I_III
K02018,-1.012634182,0.279394779,-2.483723211,0.007446788,I_III
K02019,-0.985832501,0.199569973,-1.729778803,0.042396659,I_III
K02020,-1.743738266,0.024667176,-2.910643228,0.000305523,I_III
K02021,0.086473601,0.962656358,-1.090008741,0.324511178,I_III
K02022,-0.00063363,0.999683084,-0.560204996,0.609942222,I_III
K02023,-0.178082238,0.866835057,0.275361861,0.260373774,I_III
K02024,-0.234939127,0.794553513,-0.448063517,0.61498377,I_III
K02025,-0.010619207,0.994328318,0.320766819,0.43824395,I_III
K02026,-0.850988416,0.081319173,0.344010574,0.411698454,I_III
K02027,-0.909719089,0.006268389,0.399066576,0.140890407,I_III
K02028,0.615971025,0.319648904,0.979399455,2.15E-08,I_III
K02029,0.814230592,0.007926543,1.739253401,3.14E-09,I_III
K02030,0.883093483,0.03743171,1.256801445,1.13E-13,I_III
K02031,0.036031045,0.959413342,0.769785621,2.28E-06,I_III
K02032,-1.081564796,8.74E-05,0.538936923,0.123797493,I_III
K02033,-0.899882129,0.001664621,0.263290197,0.295589392,I_III
K02034,-0.834291653,0.026098862,0.60604467,0.027908769,I_III
K02035,-0.144561966,0.724025883,2.134410707,1.86E-20,I_III
K02036,3.616581285,1.06E-15,1.148659403,1.80E-12,I_III
K02037,3.281360321,1.42E-08,1.349363125,5.05E-12,I_III
K02038,4.387244388,1.24E-14,1.209644609,1.37E-10,I_III
K02039,3.404144709,1.68E-06,3.56024305,1.71E-22,I_III
K02040,2.888781066,4.01E-13,1.278459856,1.02E-13,I_III
K02041,6.231124345,1.24E-14,4.530009897,8.59E-12,I_III
K02042,5.059655185,2.24E-09,4.07067016,4.71E-12,I_III
K02043,,,-0.240916471,0.754984092,I_III
K02044,5.499187884,1.06E-15,4.112360903,1.24E-11,I_III
K02045,-0.096437977,0.922241564,-0.599943038,0.465955302,I_III
K02046,-0.252250685,0.728504183,-0.318501573,0.696804107,I_III
K02047,-0.107269549,0.916866771,-0.151217586,0.835590242,I_III
K02048,-0.006877244,0.997386749,0.042937152,0.955953237,I_III
K02049,-2.865069359,7.31E-05,-4.770912717,1.10E-08,I_III
K02050,-1.736861627,0.059818908,-4.417266027,1.09E-05,I_III
K02051,-3.410663395,1.20E-05,-3.993544202,1.46E-06,I_III
K02052,1.760671975,0.032245603,3.327618847,0.003449334,I_III
K02053,1.501918708,0.092234812,3.085815442,0.008335591,I_III
K02054,4.07719372,1.31E-06,6.021935701,6.39E-09,I_III
K02055,2.184888656,0.010298162,3.886350486,0.001987678,I_III
K02056,-0.469715137,0.421906799,-0.001623171,0.995757427,I_III
K02057,-0.604794499,0.268878861,0.587587799,0.03595889,I_III
K02058,-0.985277275,0.178954237,-3.600287971,0.001297399,I_III
K02062,,,-0.387548989,0.628743983,I_III
