UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB011_W1D7,UAB011,II,#7ac472,1,0.000864443,0.000139643,5.13E-05,3.37E-05,6.68E-07,4.92E-05,0.000115082,0.000361037,0.000111467
UAB011_W3D6,UAB011,II,#7ac472,2,0.001468204,8.14E-05,1.63E-05,1.33E-05,5.39E-08,3.16E-05,5.43E-05,0.000475753,2.58E-05
UAB011_W7D1,UAB011,II,#7ac472,3,0.001037509,0.000204991,3.43E-05,3.59E-05,1.32E-06,2.13E-05,0.00014371,0.000469203,6.34E-05
UAB011_W7D7,UAB011,II,#7ac472,4,0.000588496,0.000330197,0.000121026,8.80E-05,2.74E-07,4.73E-06,0.000356238,0.000447138,0.000183095
UAB011_W9D7,UAB011,II,#7ac472,5,0.001095062,0.000578557,6.78E-06,,,,2.48E-05,0.000499246,0.00063086
UAB015_W1D5,UAB015,IV,#262fd4,1,0.002976985,0.000621835,2.97E-05,1.32E-05,1.12E-05,1.07E-05,6.55E-05,0.000350904,0.004664106
UAB015_W3D1,UAB015,IV,#262fd4,2,0.003759792,0.000411138,1.01E-05,4.42E-06,5.20E-06,2.37E-06,8.51E-06,0.000272703,0.00365957
UAB015_W9D4,UAB015,IV,#262fd4,4,0.00247488,0.001012631,4.36E-05,2.29E-05,4.95E-06,9.97E-06,8.63E-05,0.000324499,0.000860495
UAB015_W10D7,UAB015,IV,#262fd4,5,0.001758062,0.000780491,4.59E-05,4.36E-05,3.57E-06,1.87E-05,0.000194737,0.000330289,0.002407311
UAB021_W3D7,UAB021,IV,#262fd4,2,0.0027785,2.17E-05,2.41E-07,1.31E-07,1.10E-08,2.30E-07,1.10E-06,0.000157406,0.00039778
UAB021_W5D7,UAB021,IV,#262fd4,3,0.001432455,0.001108544,4.09E-06,1.84E-06,1.50E-05,5.30E-06,2.68E-05,9.68E-05,0.00078755
UAB021_W8D3,UAB021,IV,#262fd4,4,0.000852263,0.001226488,0.000124627,3.95E-05,5.96E-07,1.30E-05,0.000156115,0.000421474,0.000526211
UAB021_W10D2,UAB021,IV,#262fd4,5,0.001239362,0.001538974,4.19E-05,2.06E-05,4.24E-06,1.91E-05,0.000145693,0.00037135,0.001737997
UAB022_W2D1,UAB022,IV,#262fd4,1,0.001748748,0.001039669,9.01E-06,9.05E-05,9.14E-06,5.85E-07,8.59E-05,0.000204103,0.002966594
UAB022_W4D1,UAB022,IV,#262fd4,2,0.003098005,0.001245381,2.86E-05,6.70E-07,1.47E-05,3.90E-06,8.23E-05,0.000247283,0.004156794
UAB022_W6D1,UAB022,IV,#262fd4,3,0.00148689,0.00070148,0.000181632,2.87E-05,1.83E-05,9.81E-06,0.000359323,0.000414992,0.001460238
UAB022_W10D1,UAB022,IV,#262fd4,5,0.001339584,0.000917807,0.000245255,9.12E-05,6.52E-06,1.52E-05,0.000178077,0.000568935,0.00051722
UAB028_W1D7,UAB028,I,#d44646,1,0.004550574,0.000241837,1.69E-07,3.44E-08,,1.16E-06,0.000210719,0.000459482,0.000150582
UAB028_W3D7,UAB028,IV,#262fd4,2,0.002360446,0.000264484,2.06E-07,,,2.17E-07,0.000333381,0.000269217,0.001922306
UAB028_W5D5,UAB028,V,#525254,3,0.005600771,0.000953567,7.80E-06,5.22E-06,2.76E-07,1.13E-05,6.85E-05,0.000391564,0.00060181
