VOG,AYAC02_W1D7,AYAC02_W3D1,AYAC02_W5D6,AYAC02_W9D3,AYAC03_W8D6,AYAC03_W9D7,AYAC09_W1D7,AYAC09_W5D7,AYAC09_W9D7,AYAC10_W1D7,AYAC10_W2D7,AYAC10_W9D5,EM09_W2D3,EM09_W4D4,EM09_W6D7,EM09_W9D6,EM10_W8D7,EM11_W1D7,EM11_W7D7,EM11_W9D7,UAB002_W1D4,UAB002_W5D7,UAB002_W7D7,UAB002_W9D7,UAB010_W3D1,UAB010_W5D6,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W3D6,UAB035_W5D7,UAB035_W7D4,UAB035_W9D7,UAB038_W2D2,UAB038_W3D7,UAB093_W1D7,UAB093_W4D2,UAB093_W5D7,UAB093_W7D7,UAB093_W9D6,UAB119_W5D7,UAB119_W7D7,UAB119_W9D7,UAB122_W1D7,UAB122_W3D4,UAB122_W6D5
jaccard_2238,280.8656288,327.827555,232.1765719,254.3419416,336.2341664,467.5303128000001,249.0927779,397.8148158,214.3415106,322.01730160000005,169.672908,4.357363462,0.0,122.6448233,575.7677698,41.29708421,0.0,360.4571608,376.2631525,412.2599641000001,273.91080530000005,177.4242765,314.6269086000001,232.656963,182.2426618,418.2500538,372.7228447,13.00505084,577.8160341,226.5245646,773.2734606,12.91520716,532.3470183000002,0.0,0.0,164.04000190000005,0.0,413.0222782,344.4713058000001,422.939247,783.391614,896.5554537999999,254.6138693,428.0321137,331.7783791,442.3720983,270.1497955,328.81201560000005
jaccard_223809,32.31164671,56.52887763,65.36663485,33.94375633,88.96505095,61.44278504,39.85900642,50.62132106,35.92952726,72.69562884,67.31738138,0.0,0.0,0.0,0.0,614.7632111,0.0,69.70456161,55.52690133,93.1465558,43.62904056,140.5688262,70.89058965,31.55510671,39.74829222,55.85702181,32.55850339,1.6701223180000002,7.509678619,60.4424015,4.859931083,0.0,0.0,0.0,0.0,172.8952083,0.0,91.70597954,22.22101748,34.55508018,27.96375437,35.45579210000001,39.990092,35.00342062,57.04682252,64.97746941,81.27983344,91.09555954
jaccard_22418,188.83969005,156.78385124,184.06806709,204.30296133,107.46809787,99.32952734,387.6831836,149.83788316,107.80023228,168.46517081000005,289.323044,64.53143056,0.0,0.0,154.86558567999995,1152.2211718,0.0,116.79273056,115.75689022,114.06809802,353.6538632000001,447.3494192,298.9049913,780.3060716,143.09348081000005,111.46820492,124.18555132,0.0,71.960260661,140.28474418000002,185.1108961,0.0,0.0,0.0,0.0,0.0,0.0,125.67488021,86.56314853,109.37023511,171.79290809,142.26612335000004,219.56833426,188.61880062,233.97865023000003,156.52543161,92.69960578,105.54579291000002
jaccard_224197,51.124276867,21.859055631999997,20.201487052,5.454411427999999,52.181028368,62.599290581000005,23.094641145,12.957206695,34.291350441999995,2.965826052,14.026486399000001,0.0,0.0,0.0,0.0,0.0,0.0,10.190621627999999,11.316026979,11.316014227,9.795911155,9.35156757,11.455992934000001,32.42429119,7.298320882,20.06628305,34.965919635,2.344753008,178.63562661300003,1.469819147,0.0,0.0,0.0,0.0,0.0,54.76766758,0.0,8.310398782,17.478889115999998,22.666018701,12.94966731,9.561054978,14.86157432,0.0,18.445808563,19.29828752,15.61880971,27.774532754000003
jaccard_224313,63.68748664,91.91204431,84.20822525,74.06923038,115.7013692,117.0989757,102.503655,88.84458745,94.65661359,60.68220775,68.59787505,0.0,0.0,0.0,74.74299511,105.0565576,15.55381003,124.2237791,156.2987231,167.96828369999997,112.62931670000002,34.15355112,174.57077230000004,200.5174005,161.003626,148.579678,131.4411409,2.586874242,156.90757219999998,130.4482244,164.77103300000005,0.0,0.0,0.0,0.0,289.4454395,0.0,172.500995,89.66905151,140.21355469999997,121.3678232,77.69560815,71.65743787,103.0797189,76.6270504,154.6523757,112.2125354,129.9676148
jaccard_224442,5182.023099,572.4427244,1263.75494,206.484513,4616.50468,4992.355149,1159.195746,1295.297888,1297.707639,1589.5367199999996,53.64353829,0.0,0.0,0.0,6.9380269010000015,1295.548528,3839.1752090000014,5201.349677,2036.891897,2464.969925,7577.137278,3872.0165520000014,1827.073669,22453.92711,20764.32899,4288.646278,1532.016962,11390.91269,696.5480623999998,771.2949465,1081.132169,24885.50547,44057.73666,20773.31107,6335.935465,21012.28989,15338.48296,5626.347735,1219.204732,1774.074505,1839.094746,2613.003915,779.3657268,863.6607879000002,1520.089112,4974.648354999998,1128.875128,1374.918974
jaccard_224474,267.7597875,350.2787928,529.5551889,418.7401239,438.545115,360.7550177,486.2007277,500.1396175,547.7916205,441.8775248,767.7151362000002,64.49538713,503.9158765,0.0,482.9410882,0.0,1384.272458,329.1415204,337.971025,314.6113556,315.4283392,1370.059658,778.8569413,799.0672024,291.15857860000006,324.0035836,358.9417585,3399.091887,292.5133243,503.7828182,353.9649805,201.8808319,741.1155732000002,662.3760934999998,0.0,992.4150309,0.0,282.9690785,213.34627630000003,286.8880096000001,214.8990749,251.1478476,564.9292365,646.5909642000001,434.644406,303.0122971,397.097896,509.7689459
jaccard_22450,145.425951,239.2055788,184.35596740000003,65.79488529,577.7089947000002,361.8991829,321.0301967,275.4294963,289.0548058,138.1477177,123.2847392,496.8735533,0.0,0.829814866,259.80427230000004,0.421975287,1.0677407209999998,412.4696165,534.2713462,730.4526933999998,281.1958062,220.2927408,197.5648216,312.7270974,234.1071099,740.7787268999998,237.6350366,5.860278721,287.1667008,229.854916,30.52692689,0.6735872409999999,21.78432566,157.6232997,0.0,483.0670384,941.8634983,441.99725610000013,196.8657516,216.3517162,204.4629876,468.94016280000005,237.9952707,114.7360945,140.19815119999998,352.964535,306.855565,502.2984585
jaccard_22473,493.90025524,492.38968067,326.451369089,540.884690059,496.93035529800005,525.598470551,521.2830743330001,529.811843146,302.758207319,460.475784624,569.3086734780001,7637.8130104,0.0,886.1312477000001,1154.0028485999999,1526.87502154,1169.431979,507.16264794,508.253904172,443.49861485699995,858.0344329899998,369.56339351,667.01520004,871.1999199630002,383.787405766,450.02297845,256.107683718,1066.245347105,158.10745512,219.409971152,667.74875948,737.3201186999999,104.73216671,1860.6937454,0.0,64.78709026,0.0,430.96507492,467.55555777000006,431.42505211,480.62580165,471.848157855,573.9294452030001,315.55100384900004,548.6539450419999,772.14138638,644.90433045,626.37482046
jaccard_224804,5.980935262000001,16.333792075999998,11.613544524000002,21.828843460999998,47.270324951999996,82.96529727,26.75213715,23.62914142,35.88591270000001,6.8380300589999985,11.26373507,0.0,0.0,0.0,0.0,0.0,0.0,15.89364392,15.255279217,22.647270271,170.42955528999997,14.24539309,135.397450221,118.60094679999999,9.025472651,4.336752755,38.24316887,1.367772588,38.67402836,67.433515027,27.63969426,0.0,0.538348278,0.0,1245.8938629010001,0.0,0.0,29.2936104,26.680793323000003,16.905943307,16.157038999,10.725049685999998,11.4376479,5.793467903,7.619055038,11.569588772000001,12.594375755,14.083996502
